FILM,IMDB,IMDB_norm,IMDB_norm_round,IMDB_user_vote_count
Do You Believe? (2015),5.4,2.7,2.5,3136
Hot Tub Time Machine 2 (2015),5.1,2.55,2.5,19560
Irrational Man (2015),6.9,3.45,3.5,2680
Top Five (2014),6.5,3.25,3.5,16876
Black Sea (2015),6.4,3.2,3.0,16547
Pixels (2015),5.6,2.8,3.0,19521
The Boy Next Door (2015),4.6,2.3,2.5,19658
Aloha (2015),5.5,2.75,3.0,12255
5 Flights Up (2015),6.1,3.05,3.0,2174
Welcome to Me (2015),5.9,2.95,3.0,8301
Saint Laurent (2015),6.3,3.15,3.0,2196
I'll See You In My Dreams (2015),6.9,3.45,3.5,1151
Annie (2014),5.2,2.6,2.5,19222
Hot Pursuit (2015),4.9,2.45,2.5,17061
Black or White (2015),6.6,3.3,3.5,4857
Ricki and the Flash (2015),6.2,3.1,3.0,1769
Unfinished Business (2015),5.4,2.7,2.5,14346
American Ultra (2015),6.5,3.25,3.5,3017
True Story (2015),6.3,3.15,3.0,16069
Child 44 (2015),6.4,3.2,3.0,19220
Dark Places (2015),6.3,3.15,3.0,9856
Mr. Turner (2014),6.9,3.45,3.5,13296
Vacation (2015),6.3,3.15,3.0,8179
Paper Towns (2015),6.9,3.45,3.5,14156
Self/less (2015),6.6,3.3,3.5,5626
Sinister 2 (2015),5.5,2.75,3.0,3200
Maggie (2015),5.6,2.8,3.0,18986
The Overnight (2015),6.9,3.45,3.5,867
The Gallows (2015),4.4,2.2,2.0,5511
The Second Best Exotic Marigold Hotel (2015),6.6,3.3,3.5,12940
Strange Magic (2015),5.7,2.85,3.0,3658
The Gunman (2015),5.8,2.9,3.0,16663
Hitman: Agent 47 (2015),5.9,2.95,3.0,4260
Cake (2015),6.5,3.25,3.5,19627
The Vatican Tapes (2015),4.6,2.3,2.5,952
A Little Chaos (2015),6.4,3.2,3.0,4778
Escobar: Paradise Lost (2015),6.6,3.3,3.5,7819
While We're Young (2015),6.4,3.2,3.0,17647
Clouds of Sils Maria (2015),6.8,3.4,3.5,11392
Magic Mike XXL (2015),6.3,3.15,3.0,11937
The Last Five Years (2015),6.0,3.0,3.0,4110
Paul Blart: Mall Cop 2 (2015),4.3,2.15,2.0,15004
The Lazarus Effect (2015),5.2,2.6,2.5,17691
The Woman In Black 2 Angel of Death (2015),4.9,2.45,2.5,14873
Serena (2015),5.4,2.7,2.5,12165
"Kumiko, The Treasure Hunter (2015)",6.7,3.35,3.5,5289
